student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,attendance_adj,avg_assessment,avg_attendance
159,master of education - master of business administration,First year,Satisfactory,0.0,Referencing,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,Email,ED5097,74.6,79.7,40.0,70.53,74.63,No Access,Non Submission,ED5880,60.33,47.16,64.06,72.87,69.91,No Access,Non Submission,LB5113,61.85,67.96,62.93,66.03,66.79,No Access,Non Submission,,,Non-IT,60.0,64.00166666666667,67.8325
500,master of professional accounting,LOA,Satisfactory,0.0,,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,CO5117,58.43,88.24,56.38,40.0,93.37,Access,Attendance,CO5103,42.85,75.6,60.84,57.67,60.06,Access,Non Submission,CO5109,63.26,60.44,68.25,68.43,92.64,No Access,Non Submission,,,Non-IT,77.82,61.69916666666668,80.9725
397,master of engineering management,First year,Satisfactory,0.0,Essential Skills and Reading,Student Counsellor,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,EG5200,51.33,76.81,56.42,55.36,60.0,No Access,Non Submission,EG5220,56.66,73.72,72.85,70.7,95.43,No Access,Concern for Welfare,EG5310,84.72,70.03,71.14,60.0,78.44,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,71.36,66.64500000000001,76.3075
156,master of education - master of business administration,SRI to JCUB,Satisfactory,0.0,,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,48.56,68.62,48.48,83.42,71.89,Access,Concern for Welfare,ED5880,57.31,64.56,49.8,83.44,84.28,No Access,Attendance,LB5113,56.39,75.52,75.96,51.59,68.57,Access,Non Submission,,,Non-IT,88.8,63.63750000000001,78.385
322,bachelor of business,First year,Satisfactory,0.0,Referencing,Student Counsellor,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Email,BU1002,53.35,77.68,63.34,60.41,60.0,Access,Concern for Welfare,BU1003,93.93,72.04,87.45,90.38,60.0,No Access,Concern for Welfare,BU1007,62.92,51.87,71.31,68.1,75.48,Access,Concern for Welfare,,,Non-IT,60.0,71.06500000000001,63.870000000000005
213,master of information technology,Return to Study,Satisfactory,0.0,,Enrollment,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Email,CP5046,40.0,80.53,90.32,93.94,73.27,No Access,Concern for Welfare,CP5047,67.96,75.25,67.89,63.89,72.82,Access,Concern for Welfare,CP5503,47.0,63.82,73.45,84.44,91.15,Access,Concern for Welfare,,,IT,95.49,70.7075,83.18249999999999
235,master of information technology,Return to Study,Satisfactory,0.0,,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP5046,40.0,70.39,60.56,62.56,98.77,No Access,Attendance,CP5047,47.52,77.43,61.94,52.15,98.22,Access,Attendance,CP5503,76.2,63.22,62.98,77.34,64.93,Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,IT,84.14,62.69083333333334,86.515
290,bachelor of business,First year,Satisfactory,0.0,Writing,Lecturer,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,BU1002,74.3,62.98,85.22,50.3,74.74,Access,Attendance,BU1003,70.79,86.12,90.33,78.76,79.7,No Access,Concern for Welfare,BU1007,86.08,40.0,54.54,75.75,60.0,Access,Concern for Welfare,,,Non-IT,68.18,71.26416666666667,70.655
301,bachelor of business,Excluded,Satisfactory,0.0,,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,BU1002,72.73,60.15,42.49,67.07,61.73,Access,Attendance,BU1003,62.99,54.77,66.41,73.59,83.48,Access,Attendance,BU1007,54.78,77.56,73.99,94.95,91.5,Access,Attendance,,,Non-IT,75.66,66.79,78.0925
357,master of engineering management,Transferred,Satisfactory,0.0,,Other,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,EG5200,57.22,67.31,84.56,53.04,84.39,No Access,Attendance,EG5220,69.85,87.0,83.33,79.04,77.05,No Access,Concern for Welfare,EG5310,51.88,60.97,95.0,51.15,62.72,Access,Non Submission,,,Non-IT,75.4,70.02916666666667,74.89
