student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,risk_assessments
1,master of business administration,Continuing,Conditional,1,Essential Skills,Student Counsellor,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,89.2,61.1,61.5,70.9,94.7,Access,Concern for Welfare,LB5202,59.5,51.6,58.9,67.1,64.8,Access,Attendance,LB5205,58.5,39.1,65.2,40.8,69.3,Access,Non Submission,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Late Enrollment,Non-IT,High
2,master of business administration,Transferred,Satisfactory,0,Referencing,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,64.0,68.6,71.5,62.8,74.0,Access,Non Submission,LB5202,73.7,73.1,59.8,63.2,71.5,No Access,Concern for Welfare,LB5205,80.0,69.2,55.5,69.0,72.5,No Access,Non Submission,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Non Submission,Non-IT,Low
3,master of business administration,New,Satisfactory,0,Writing,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,37.8,77.2,69.9,60.4,52.4,No Access,Attendance,LB5202,69.3,60.5,72.2,64.7,69.8,No Access,Concern for Welfare,LB5205,25.5,58.8,77.7,73.1,69.5,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Late Enrollment,Non-IT,High
4,master of business administration,SRI to JCUB,Satisfactory,0,Essential Skills,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,77.4,77.1,59.0,77.0,68.2,Access,Concern for Welfare,LB5202,67.1,82.8,77.3,91.3,81.5,Access,Non Submission,LB5205,70.4,83.3,72.8,71.8,65.7,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,Non-IT,Low
5,master of business administration,Return to Study,Academic Caution,1,Essential Skills and Reading,Student Counsellor,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,62.2,66.1,64.2,52.3,91.4,Access,Attendance,LB5202,65.7,67.2,68.2,74.1,67.8,No Access,Concern for Welfare,LB5205,54.8,55.5,59.6,56.1,35.6,Access,Concern for Welfare,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Sickness,Non-IT,High
6,master of business administration,Return to Study,Academic Caution,2,4R Essential Skills,Lecturer,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,36.7,57.9,51.2,55.8,42.4,Access,Attendance,LB5202,52.6,62.3,26.3,57.2,71.7,No Access,Non Submission,LB5205,56.0,59.0,43.1,34.2,54.6,Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Death in Family,Non-IT,High
7,master of business administration,Return to Study,Satisfactory,0,Studiocity,Lecturer,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,71.4,76.1,28.7,68.2,76.2,No Access,Concern for Welfare,LB5202,86.2,73.8,78.3,70.5,68.6,Access,Attendance,LB5205,60.0,69.1,69.3,81.3,72.6,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Death in Family,Non-IT,Low
8,master of business administration,LOA,Satisfactory,0,Essential Skills and Reading,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,75.4,61.2,72.2,73.5,74.8,Access,Attendance,LB5202,69.1,6.7,78.0,76.9,76.9,No Access,Attendance,LB5205,81.4,76.0,72.2,67.5,62.1,Access,Concern for Welfare,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,No Issue Reported,Non-IT,Low
9,master of business administration,Continuing,Satisfactory,0,Referencing,Student Counsellor,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,83.7,98.8,62.8,74.7,71.7,Access,Attendance,LB5202,62.1,74.7,13.3,77.4,86.9,Access,Concern for Welfare,LB5205,59.3,59.8,74.5,73.5,65.7,Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Mental Health,Non-IT,Low
10,master of business administration,LOA,Satisfactory,0,4R Essential Skills,Other,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,84.2,64.5,55.2,67.7,73.9,Access,Attendance,LB5202,69.3,65.6,99.2,79.8,70.9,Access,Concern for Welfare,LB5205,83.0,74.6,64.1,59.6,65.8,No Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,No Issue Reported,Non-IT,Low
