student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,risk,country
1,MBA,Continuing,Conditional,1,Essential Skills,Student Counsellor,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,89.2,61.1,61.5,70.9,94.7,Access,Concern for Welfare,LB5202,59.5,51.6,58.9,67.1,64.8,Access,Attendance,LB5205,58.5,39.1,65.2,40.8,69.3,Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Late Enrollment,Non-IT,High,Australia
2,MBA,Transferred,Satisfactory,0,Referencing,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,64.0,68.6,71.5,62.8,74.0,Access,Non Submission,LB5202,73.7,73.1,59.8,63.2,71.5,No Access,Concern for Welfare,LB5205,80.0,69.2,55.5,69.0,72.5,No Access,Non Submission,,Non Submission,Non-IT,Low,Australia
3,MBA,New,Satisfactory,0,Writing,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,37.8,77.2,69.9,60.4,52.4,No Access,Attendance,LB5202,69.3,60.5,72.2,64.7,69.8,No Access,Concern for Welfare,LB5205,25.5,58.8,77.7,73.1,69.5,Access,Attendance,,Late Enrollment,Non-IT,High,Bangladesh
4,MBA,SRI to JCUB,Satisfactory,0,Essential Skills,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,77.4,77.1,59.0,77.0,68.2,Access,Concern for Welfare,LB5202,67.1,82.8,77.3,91.3,81.5,Access,Non Submission,LB5205,70.4,83.3,72.8,71.8,65.7,Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,No Issue Reported,Non-IT,Low,Bhutan
5,MBA,Return to Study,Academic Caution,1,Essential Skills and Reading,Student Counsellor,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,62.2,66.1,64.2,52.3,91.4,Access,Attendance,LB5202,65.7,67.2,68.2,74.1,67.8,No Access,Concern for Welfare,LB5205,54.8,55.5,59.6,56.1,35.6,Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Sickness,Non-IT,High,Bhutan
6,MBA,Return to Study,Academic Caution,2,4R Essential Skills,Lecturer,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,36.7,57.9,51.2,55.8,42.4,Access,Attendance,LB5202,52.6,62.3,26.3,57.2,71.7,No Access,Non Submission,LB5205,56.0,59.0,43.1,34.2,54.6,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Death in Family,Non-IT,High,Bhutan
7,MBA,Return to Study,Satisfactory,0,Studiocity,Lecturer,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,71.4,76.1,28.7,68.2,76.2,No Access,Concern for Welfare,LB5202,86.2,73.8,78.3,70.5,68.6,Access,Attendance,LB5205,60.0,69.1,69.3,81.3,72.6,Access,Non Submission,,Death in Family,Non-IT,Low,Bhutan
8,MBA,LOA,Satisfactory,0,Essential Skills and Reading,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,75.4,61.2,72.2,73.5,74.8,Access,Attendance,LB5202,69.1,6.7,78.0,76.9,76.9,No Access,Attendance,LB5205,81.4,76.0,72.2,67.5,62.1,Access,Concern for Welfare,,No Issue Reported,Non-IT,Low,Bhutan
9,MBA,Continuing,Satisfactory,0,Referencing,Student Counsellor,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,83.7,98.8,62.8,74.7,71.7,Access,Attendance,LB5202,62.1,74.7,13.3,77.4,86.9,Access,Concern for Welfare,LB5205,59.3,59.8,74.5,73.5,65.7,Access,Non Submission,,Mental Health,Non-IT,Low,Bhutan
10,MBA,LOA,Satisfactory,0,4R Essential Skills,Other,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,84.2,64.5,55.2,67.7,73.9,Access,Attendance,LB5202,69.3,65.6,99.2,79.8,70.9,Access,Concern for Welfare,LB5205,83.0,74.6,64.1,59.6,65.8,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,Non-IT,Low,Bhutan
11,MBA,Continuing,Satisfactory,0,Referencing,Student Counsellor,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,72.4,83.0,82.9,78.4,72.3,Access,Concern for Welfare,LB5202,73.0,74.0,76.4,82.3,76.8,Access,Non Submission,LB5205,51.0,70.8,57.4,81.6,68.0,Access,Attendance,,No Issue Reported,Non-IT,Low,Bhutan
12,MBA,LOA,Satisfactory,0,Writing,Other,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,68.7,79.5,83.4,56.0,70.1,No Access,Non Submission,LB5202,68.1,64.1,75.5,78.9,77.7,Access,Concern for Welfare,LB5205,72.3,74.1,80.7,96.2,77.0,Access,Non Submission,,No Issue Reported,Non-IT,Low,Bhutan
13,MBA,LOA,Satisfactory,0,4R Essential Skills,Enrollment,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,75.8,82.6,83.3,79.0,66.0,Access,Concern for Welfare,LB5202,68.2,76.3,72.0,77.5,86.5,Access,Concern for Welfare,LB5205,74.6,68.4,79.0,63.3,73.5,No Access,Attendance,,No Issue Reported,Non-IT,Low,Bhutan
14,MBA,New,Satisfactory,0,Referencing,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,68.7,67.2,73.6,77.1,81.1,Access,Attendance,LB5202,66.8,64.7,77.4,61.0,68.7,Access,Concern for Welfare,LB5205,46.2,63.4,70.7,76.7,66.6,Access,Concern for Welfare,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,Non-IT,Medium,Bhutan
15,MBA,Transferred,Satisfactory,0,Writing,Lecturer,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,67.4,66.6,71.2,71.9,70.3,Access,Non Submission,LB5202,98.5,90.0,93.0,58.8,86.9,Access,Concern for Welfare,LB5205,67.4,29.0,79.3,73.7,61.7,Access,Concern for Welfare,,Mental Health,Non-IT,Low,Bhutan
16,MBA,LOA,Conditional,1,Essential Skills,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,61.2,70.9,44.2,37.1,49.9,No Access,Non Submission,LB5202,55.8,70.4,52.6,41.2,77.7,Access,Attendance,LB5205,46.0,79.5,74.9,65.4,75.9,Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Mental Health,Non-IT,High,Bhutan
17,MBA,New,Satisfactory,0,Studiocity,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,59.4,67.1,65.5,65.6,73.2,No Access,Concern for Welfare,LB5202,90.1,55.7,74.6,68.3,52.8,Access,Attendance,LB5205,75.4,68.5,72.6,79.6,60.2,Access,Attendance,,No Issue Reported,Non-IT,Medium,Bhutan
18,MBA,First year,Conditional,1,Writing,Student Counsellor,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,55.2,58.6,66.6,53.0,70.3,Access,Concern for Welfare,LB5202,74.3,73.7,24.2,49.3,43.1,Access,Concern for Welfare,LB5205,48.7,46.0,46.9,21.9,45.4,No Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Poor Time Management,Non-IT,High,Bhutan
19,MBA,Transferred,Satisfactory,0,Referencing,Other,Attended,,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,68.3,81.3,62.8,72.5,69.4,Access,Attendance,LB5202,59.8,72.4,57.3,63.5,75.3,Access,Non Submission,LB5205,72.1,69.8,62.7,83.1,67.0,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,No Issue Reported,Non-IT,Low,Bhutan
