student_id,country,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,risk,country_weighted,course_weighted,student_cohort_weighted,academic_status_weighted,study_skills(attended)_weighted,referral_weighted,pp_meeting_weighted,self_assessment_weighted,readiness_assessment_results_weighted,follow_up_weighted,follow_up_type_weighted,subject_1_weighted,learn_jcu_issues_1_weighted,lecturer_referral_1_weighted,subject_2_weighted,learn_jcu_issues_2_weighted,lecturer_referral_2_weighted,subject_3_weighted,learn_jcu_issues_3_weighted,lecturer_referral_3_weighted,comments_weighted,identified_issues_weighted,course_group_weighted,readiness_assessment_results_sentiment_score,readiness_assessment_results_sentiment_category,readiness_assessment_results_text_length,readiness_assessment_results_word_count,comments_sentiment_score,comments_sentiment_category,comments_text_length,comments_word_count
1,australia,mba,continuing,conditional,1,essential skills,student counsellor,booked,,l/g:9/10 n:5/10 r:8/10,yes,no reply,lb5113,89.2,61.1,61.5,70.9,94.7,access,concern for welfare,lb5202,59.5,51.6,58.9,67.1,64.8,access,attendance,lb5205,58.5,39.1,65.2,40.8,69.3,access,non submission,week 6. student reported working long hours. referred to careers support for managing work–study balance.,late enrollment,non-it,high,18,4,5,2,5,5,2,1.5,1,1,3,3,1,2,3,1,3,3,1,2,10.0,3,1,0,neutral,22,3,0.0,neutral,105,15
3,bangladesh,mba,new,satisfactory,0,writing,enrollment,attended,yes,l/g:9/10 n:5/10 r:8/10,yes,phone,lb5113,37.8,77.2,69.9,60.4,52.4,no access,attendance,lb5202,69.3,60.5,72.2,64.7,69.8,no access,concern for welfare,lb5205,25.5,58.8,77.7,73.1,69.5,access,attendance,,late enrollment,non-it,high,16,4,2,1,3,3,3,1.0,1,1,4,3,2,3,3,2,2,3,1,1,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
5,bhutan,mba,return to study,academic caution,1,essential skills and reading,student counsellor,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,no reply,lb5113,62.2,66.1,64.2,52.3,91.4,access,attendance,lb5202,65.7,67.2,68.2,74.1,67.8,no access,concern for welfare,lb5205,54.8,55.5,59.6,56.1,35.6,access,concern for welfare,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,sickness,non-it,high,15,4,7,3,4,5,4,1.5,1,1,3,3,1,3,3,2,2,3,1,3,2.0,5,1,0,neutral,22,3,0.0,neutral,131,21
6,bhutan,mba,return to study,academic caution,2,4r essential skills,lecturer,attended,,l/g:9/10 n:5/10 r:8/10,yes,f2f,lb5113,36.7,57.9,51.2,55.8,42.4,access,attendance,lb5202,52.6,62.3,26.3,57.2,71.7,no access,non submission,lb5205,56.0,59.0,43.1,34.2,54.6,access,non submission,week 6. student submitted assessment late. extension not requested in advance. advised to submit future requests on time and referred to academic skills team.,death in family,non-it,high,15,4,7,3,6,2,3,1.5,1,1,1,3,1,3,3,2,1,3,1,2,9.0,6,1,0,neutral,22,3,0.0,neutral,158,24
14,bhutan,mba,new,satisfactory,0,referencing,student advocate,not relevant,no,l/g:9/10 n:5/10 r:8/10,no,phone,lb5113,68.7,67.2,73.6,77.1,81.1,access,attendance,lb5202,66.8,64.7,77.4,61.0,68.7,access,concern for welfare,lb5205,46.2,63.4,70.7,76.7,66.6,access,concern for welfare,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,non-it,medium,15,4,2,1,2,1,4,2.0,1,2,4,3,1,3,3,1,2,3,1,3,1.0,2,1,0,neutral,22,3,0.0,neutral,117,16
16,bhutan,mba,loa,conditional,1,essential skills,enrollment,booked,,l/g:9/10 n:5/10 r:8/10,yes,f2f,lb5113,61.2,70.9,44.2,37.1,49.9,no access,non submission,lb5202,55.8,70.4,52.6,41.2,77.7,access,attendance,lb5205,46.0,79.5,74.9,65.4,75.9,access,non submission,week 7. student disclosed high stress levels and lack of sleep. referred to wellbeing team and reminded of available mental health support.,mental health,non-it,high,15,4,6,2,5,3,2,1.5,1,1,1,3,2,1,3,1,3,3,1,2,8.0,4,1,0,neutral,22,3,0.0,neutral,139,22
17,bhutan,mba,new,satisfactory,0,studiocity,enrollment,not relevant,yes,l/g:9/10 n:5/10 r:8/10,yes,no reply,lb5113,59.4,67.1,65.5,65.6,73.2,no access,concern for welfare,lb5202,90.1,55.7,74.6,68.3,52.8,access,attendance,lb5205,75.4,68.5,72.6,79.6,60.2,access,attendance,,no issue reported,non-it,medium,15,4,2,1,1,3,4,1.0,1,1,3,3,2,2,3,1,3,3,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
18,bhutan,mba,first year,conditional,1,writing,student counsellor,booked,,l/g:9/10 n:5/10 r:8/10,yes,email,lb5113,55.2,58.6,66.6,53.0,70.3,access,concern for welfare,lb5202,74.3,73.7,24.2,49.3,43.1,access,concern for welfare,lb5205,48.7,46.0,46.9,21.9,45.4,no access,non submission,week 6. student submitted assessment late. extension not requested in advance. advised to submit future requests on time and referred to academic skills team.,poor time management,non-it,high,15,4,4,2,3,5,2,1.5,1,1,2,3,1,2,3,1,2,3,2,2,9.0,7,1,0,neutral,22,3,0.0,neutral,158,24
23,bhutan,mba,first year,satisfactory,0,studiocity,other,booked,,l/g:9/10 n:5/10 r:8/10,yes,email,lb5113,68.2,66.9,70.0,69.1,77.7,no access,concern for welfare,lb5202,67.3,51.5,64.6,61.5,57.9,access,non submission,lb5205,69.4,64.9,54.2,60.3,65.9,no access,non submission,,no issue reported,non-it,medium,15,4,4,1,1,4,2,1.5,1,1,2,3,2,2,3,1,1,3,2,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
24,bhutan,mba,first year,satisfactory,0,writing,student advocate,rescheduled,,l/g:9/10 n:5/10 r:8/10,yes,f2f,lb5113,73.1,76.7,65.9,65.5,63.6,no access,concern for welfare,lb5202,75.5,70.9,75.0,56.9,68.8,no access,non submission,lb5205,72.5,60.8,66.9,70.8,58.1,access,attendance,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,late enrollment,non-it,medium,15,4,4,1,3,1,1,1.5,1,1,1,3,2,2,3,2,1,3,1,1,1.0,3,1,0,neutral,22,3,0.0,neutral,117,16
25,bhutan,mba,new,satisfactory,0,writing,other,rescheduled,no,l/g:9/10 n:5/10 r:8/10,yes,no reply,lb5113,81.9,78.7,66.0,73.7,71.0,access,non submission,lb5202,74.9,72.5,65.9,70.2,70.2,access,attendance,lb5205,68.2,79.8,75.9,38.1,66.2,access,concern for welfare,,late enrollment,non-it,medium,15,4,2,1,3,4,1,2.0,1,1,3,3,1,1,3,1,3,3,1,3,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
26,bhutan,mba,first year,satisfactory,0,referencing,lecturer,not relevant,,l/g:9/10 n:5/10 r:8/10,no,no reply,lb5113,66.6,93.5,79.1,68.1,72.3,access,concern for welfare,lb5202,71.1,71.6,25.2,69.6,62.6,access,concern for welfare,lb5205,66.5,74.6,59.6,72.7,72.4,access,attendance,,no issue reported,non-it,medium,15,4,4,1,2,2,4,1.5,1,2,3,3,1,2,3,1,2,3,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
32,bhutan,mba,new,satisfactory,0,studiocity,other,attended,no,l/g:9/10 n:5/10 r:8/10,no,phone,lb5113,66.5,69.8,63.8,70.1,72.0,access,attendance,lb5202,58.0,76.9,72.0,67.4,60.6,access,attendance,lb5205,78.8,73.0,72.8,64.8,59.1,no access,non submission,,late enrollment,non-it,medium,15,4,2,1,1,4,3,2.0,1,2,4,3,1,3,3,1,3,3,2,2,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
34,bhutan,mba,first year,satisfactory,0,4r essential skills,enrollment,rescheduled,,l/g:9/10 n:5/10 r:8/10,no,no reply,lb5113,62.9,66.6,72.6,77.0,55.8,access,attendance,lb5202,2.7,62.7,67.3,58.8,65.2,access,non submission,lb5205,77.0,64.8,65.2,58.6,69.7,access,non submission,,no issue reported,non-it,medium,15,4,4,1,6,3,1,1.5,1,2,3,3,1,3,3,1,1,3,1,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
39,bhutan,mba,first year,satisfactory,0,writing,lecturer,rescheduled,,l/g:9/10 n:5/10 r:8/10,no,no reply,lb5113,64.9,98.2,70.2,68.8,65.6,no access,concern for welfare,lb5202,75.0,76.5,60.4,90.2,59.5,no access,concern for welfare,lb5205,64.3,55.9,68.8,75.5,58.1,access,concern for welfare,,no issue reported,non-it,medium,15,4,4,1,3,2,1,1.5,1,2,3,3,2,2,3,2,2,3,1,3,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
41,bhutan,mba,return to study,satisfactory,0,4r essential skills,student counsellor,attended,,l/g:9/10 n:5/10 r:8/10,yes,no reply,lb5113,30.9,70.6,79.8,77.6,74.8,access,concern for welfare,lb5202,72.8,78.4,72.2,59.9,73.1,access,non submission,lb5205,66.3,64.9,75.1,66.7,66.6,access,attendance,,no issue reported,non-it,medium,15,4,7,1,6,5,3,1.5,1,1,3,3,1,2,3,1,1,3,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
42,bhutan,mba,new,satisfactory,0,writing,enrollment,not relevant,yes,l/g:9/10 n:5/10 r:8/10,yes,email,lb5113,67.0,68.2,65.9,67.3,70.0,access,attendance,lb5202,66.0,78.3,66.2,68.5,59.7,access,attendance,lb5205,66.1,99.3,73.0,64.4,62.7,access,non submission,,no issue reported,non-it,medium,15,4,2,1,3,3,4,1.0,1,1,2,3,1,3,3,1,3,3,1,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
48,bhutan,mba,first year,satisfactory,0,referencing,student advocate,rescheduled,,l/g:9/10 n:5/10 r:8/10,no,phone,lb5113,78.4,68.2,65.6,58.6,70.1,access,concern for welfare,lb5202,70.8,73.7,63.7,64.8,66.7,access,concern for welfare,lb5205,77.6,79.4,68.4,62.5,60.5,no access,non submission,,no issue reported,non-it,medium,15,4,4,1,2,1,1,1.5,1,2,4,3,1,2,3,1,2,3,2,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
55,chile,mba,new,satisfactory,0,referencing,other,rescheduled,no,l/g:9/10 n:5/10 r:8/10,yes,f2f,lb5113,64.4,55.1,63.7,61.8,59.7,access,attendance,lb5202,59.5,69.0,47.6,65.0,58.8,no access,attendance,lb5205,68.6,31.4,60.1,71.8,61.4,access,concern for welfare,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,non-it,medium,10,4,2,1,2,4,1,2.0,1,1,1,3,1,3,3,2,3,3,1,3,1.0,2,1,0,neutral,22,3,0.0,neutral,117,16
61,colombia,mba,new,satisfactory,0,4r essential skills,enrollment,attended,yes,l/g:9/10 n:5/10 r:8/10,no,phone,lb5113,29.4,93.8,61.5,88.1,47.3,no access,concern for welfare,lb5202,64.9,61.2,70.2,64.8,57.3,no access,concern for welfare,lb5205,72.7,72.9,58.8,60.2,58.5,access,attendance,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,late enrollment,non-it,high,32,4,2,1,6,3,3,1.0,1,2,4,3,2,2,3,2,2,3,1,1,2.0,3,1,0,neutral,22,3,0.0,neutral,131,21
63,ghana,mba,loa,satisfactory,0,writing,lecturer,booked,,l/g:9/10 n:5/10 r:8/10,no,phone,lb5113,3.4,71.4,68.4,70.1,69.2,access,concern for welfare,lb5202,19.9,87.1,69.5,68.0,80.7,no access,non submission,lb5205,74.9,68.3,83.2,78.8,71.3,access,attendance,,no issue reported,non-it,medium,9,4,6,1,3,2,2,1.5,1,2,4,3,1,2,3,2,1,3,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
68,india,mba,first year,satisfactory,0,writing,other,rescheduled,,l/g:9/10 n:5/10 r:8/10,no,email,lb5113,62.3,69.6,59.9,61.8,80.2,access,attendance,lb5202,68.4,83.1,79.6,72.4,80.5,access,concern for welfare,lb5205,61.7,57.0,82.3,70.4,58.9,access,attendance,,no issue reported,non-it,medium,13,4,4,1,3,4,1,1.5,1,2,2,3,1,3,3,1,2,3,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
69,india,mba,first year,satisfactory,0,referencing,student counsellor,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,phone,lb5113,95.7,63.5,69.7,72.8,79.5,access,non submission,lb5202,67.5,69.3,63.5,73.0,67.3,access,concern for welfare,lb5205,93.5,75.4,68.9,77.4,70.6,no access,non submission,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,non-it,medium,13,4,4,1,2,5,4,1.5,1,1,4,3,1,1,3,1,2,3,2,2,1.0,2,1,0,neutral,22,3,0.0,neutral,117,16
73,jordan,mba,new,satisfactory,0,referencing,student counsellor,booked,no,l/g:9/10 n:5/10 r:8/10,yes,f2f,lb5113,79.0,65.5,56.2,74.7,69.7,no access,non submission,lb5202,69.5,64.1,59.2,56.7,53.0,access,attendance,lb5205,54.7,59.0,68.9,70.2,76.8,access,non submission,,no issue reported,non-it,medium,8,4,2,1,2,5,2,2.0,1,1,1,3,2,1,3,1,3,3,1,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
